residual_growth_fraction	N_fraction_of_qref	NH4_capacity	condition_max_growth_h-1	max_PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
0.2	0.3999999999999999	1.2056654858839997	0.11493281677821238	0.8103116252919452	0.27903891128553426
0.2	0.425	1.28101957875175	0.12211611782685099	0.806268601872691	0.27764665574087993
0.2	0.4499999999999999	1.3563736716194996	0.12929941887548946	0.802225578453426	0.2762544001962218
0.2	0.475	1.43172776448725	0.13648271992412805	0.7981825550341799	0.2748621446515702
0.2	0.4999999999999999	1.5070818573549996	0.14366602097276654	0.7941395316149242	0.27346988910691533
0.2	0.5249999999999999	1.5824359502227496	0.15084932202140502	0.7900965081956659	0.2720776335622595
0.2	0.5499999999999999	1.6577900430904997	0.15803262307004362	0.7860534847764096	0.2706853780176044
0.2	0.575	1.7331441359582498	0.1652159241186821	0.7820104613571587	0.2692931224729512
0.2	0.6	1.8084982288259999	0.17239922516732073	0.7779674379379039	0.26790086692829657
0.2	0.625	1.88385232169375	0.17958252621595922	0.7739244145186368	0.2665086113836378
0.2	0.6499999999999999	1.9592064145614998	0.1867658272646002	0.7698813910993743	0.2651163558389806
0.2	0.6749999999999999	2.0345605074292497	0.1939491283132362	0.7658383676801266	0.2637241002943284
0.2	0.7	2.109914600297	0.20113242936187686	0.7617953442608572	0.2623318447496688
0.2	0.725	2.18526869316475	0.20831573041051332	0.7577523208416106	0.26093958920501703
0.2	0.7499999999999999	2.2606227860324997	0.21549903145915358	0.7537092974223452	0.2595473336603588
0.2	0.7749999999999999	2.3359768789002495	0.22268233250779024	0.7496662740030995	0.2581550781157073
0.2	0.7999999999999999	2.411330971768	0.22986563355643044	0.7456232505838369	0.2567628225710501
0.2	0.825	2.4866850646357497	0.23704893460506735	0.7415802271645888	0.2553705670263978
0.2	0.85	2.5620391575035	0.24423223565370716	0.7375372037453243	0.2539783114817399
0.2	0.8749999999999999	2.63739325037125	0.25141553670234446	0.7334941803260806	0.2525860559370891
