residual_growth_fraction_alpha	time_after_dual_limit_h	residual_growth_rate_h-1	PHB_capacity_g_gDW_h	relative_residual_biomass	relative_PHB_mass	PHB_wt_pct
0.1	0.6000000000000001	0.0143666020972685	0.2873924445531719	1.0086572201040649	0.17318080029620345	14.65351404395926
0.1	0.7000000000000001	0.0143666020972685	0.2873924445531719	1.010107359226607	0.20218967967825335	16.678229277941917
0.1	0.8	0.0143666020972685	0.2873924445531719	1.0115595832035802	0.23124026491443866	18.6063962966046
0.1	0.9	0.0143666020972685	0.2873924445531719	1.0130138950323644	0.2603326159649595	20.44475825838318
0.1	1.0	0.0143666020972685	0.2873924445531719	1.014470297714649	0.28946679287622284	22.19944466377995
0.1	1.1	0.0143666020972685	0.2873924445531719	1.0159287942564388	0.3186428557809671	23.87603960956582
0.1	1.2000000000000002	0.0143666020972685	0.2873924445531719	1.0173893876680602	0.34786086489837315	25.47964113132044
0.1	1.3	0.0143666020972685	0.2873924445531719	1.0188520809641677	0.3771208805342061	27.014912962885884
0.1	1.4000000000000001	0.0143666020972685	0.2873924445531719	1.0203168771637499	0.4064229630809313	28.486129819661524
0.1	1.5	0.0143666020972685	0.2873924445531719	1.0217837792901359	0.4357671730178428	29.89721713177995
0.1	1.6	0.0143666020972685	0.2873924445531719	1.0232527903710011	0.465153570911179	31.251786004896864
0.1	1.7000000000000002	0.0143666020972685	0.2873924445531719	1.024723913438374	0.49458221741425573	32.55316406422304
0.1	1.8	0.0143666020972685	0.2873924445531719	1.0261971515286423	0.5240531732675908	33.804422736468254
0.1	1.9000000000000001	0.0143666020972685	0.2873924445531719	1.027672507682559	0.5535664992990329	35.008401440572186
0.1	2.0	0.0143666020972685	0.2873924445531719	1.0291499849452486	0.5831222564238723	36.16772908827682
0.1	2.1	0.0143666020972685	0.2873924445531719	1.0306295863662138	0.6127205056449877	37.28484323721395
0.1	2.2	0.0143666020972685	0.2873924445531719	1.0321113149993415	0.6423613080529529	38.362007190182155
0.1	2.3000000000000003	0.0143666020972685	0.2873924445531719	1.0335951739029088	0.6720447248261696	39.40132529304278
