residual_growth_fraction	O2_fraction_of_qref	O2_capacity	condition_max_growth_h-1	max_PHB_flux_mmol_lump_gDW_h	max_PHB_mass_rate_g_gDW_h
0.2	1.0	4.78419469781	0.2873320419453463	0.7132790632298998	0.2456247782138483
0.2	1.025	4.90379956525525	0.29023438580320815	0.7116455184141421	0.245062250721094
0.2	1.05	5.0234044327005005	0.29023438580320476	0.7116455184141454	0.2450622507210951
0.2	1.075	5.14300930014575	0.2902343858032069	0.7116455184141506	0.2450622507210969
0.2	1.1	5.262614167591001	0.2902343858032059	0.7116455184141466	0.24506225072109553
0.2	1.125	5.38221903503625	0.2902343858032072	0.7116455184141494	0.2450622507210965
0.2	1.15	5.5018239024815	0.2902343858032059	0.7116455184141466	0.24506225072109553
0.2	1.175	5.621428769926751	0.2902343858032072	0.7116455184141494	0.2450622507210965
0.2	1.2000000000000002	5.741033637372001	0.2902343858032059	0.7116455184141466	0.24506225072109553
0.2	1.225	5.860638504817251	0.2902343858032072	0.7116455184141494	0.2450622507210965
0.2	1.25	5.980243372262501	0.2902343858032059	0.7116455184141466	0.24506225072109553
0.2	1.275	6.09984823970775	0.2902343858032072	0.7116455184141494	0.2450622507210965
0.2	1.3	6.219453107153001	0.2902343858032059	0.7116455184141466	0.24506225072109553
0.2	1.3250000000000002	6.339057974598251	0.2902343858032072	0.7116455184141494	0.2450622507210965
0.2	1.35	6.458662842043501	0.2902343858032059	0.7116455184141466	0.24506225072109553
0.2	1.375	6.578267709488751	0.2902343858032072	0.7116455184141494	0.2450622507210965
0.2	1.4	6.697872576934	0.2902343858032059	0.7116455184141466	0.24506225072109553
0.2	1.425	6.817477444379251	0.2902343858032072	0.7116455184141494	0.2450622507210965
0.2	1.4500000000000002	6.9370823118245015	0.2902343858032059	0.7116455184141466	0.24506225072109553
0.2	1.475	7.056687179269751	0.2902343858032072	0.7116455184141494	0.2450622507210965
0.2	1.5	7.176292046715	0.2902343858032059	0.7116455184141466	0.24506225072109553
