GAM	O2_fraction_of_baseline_qref	O2_capacity_mmol_gDW_h	mu_max_h_1	PHB_flux_mmol_lump_gDW_h	PHB_mass_rate_g_gDW_h
100.0	0.6	2.8705168186806556	0.15035686710119672	0.8265047561923836	0.2846151778424092
100.0	0.65	3.1097265535707104	0.15711689202808085	0.8243244164221161	0.2838643560391199
100.0	0.7	3.3489362884607647	0.16387691695496298	0.8221440766517539	0.283113534235798
100.0	0.75	3.5881460233508196	0.17063694188184506	0.8199637368828023	0.2823627124329618
100.0	0.8	3.8273557582408744	0.17739696680872583	0.8177833971125755	0.2816118906296865
100.0	0.85	4.066565493130929	0.18415699173560976	0.815603057344052	0.28086106882699774
100.0	0.9	4.305775228020984	0.19011066534459853	0.8136827935150783	0.2801998067748524
100.0	0.95	4.5449849629110375	0.1952724913006686	0.812017927699164	0.27962649358248415
100.0	1.0	4.784194697801093	0.2004343172567374	0.8103530618831296	0.27905318039007454
100.0	1.05	5.023404432691148	0.20559614321280498	0.8086881960665167	0.27847986719746565
100.0	1.1	5.262614167581202	0.2107579691688738	0.8070233302513452	0.27790655400535325
100.0	1.15	5.501823902471256	0.21591979512494136	0.8053584644352825	0.27733324081293387
100.0	1.2	5.741033637361311	0.2210816210810102	0.8036935986190765	0.2767599276204652
100.0	1.25	5.9802433722513655	0.2262434470370786	0.8020287328028158	0.27618661442797765
100.0	1.3	6.219453107141421	0.23140527299314742	0.8003638669866678	0.27561330123552896
100.0	1.35	6.458662842031476	0.2365670989492175	0.7986990011704767	0.27503998804306534
100.0	1.4	6.6978725769215295	0.2417289249052854	0.7970341353544549	0.27446667485066006
100.0	1.45	6.937082311811584	0.24370341855093317	0.7963972934696355	0.2742473719792037
100.0	1.5	7.176292046701639	0.24370341855093317	0.7963972934696355	0.2742473719792037
