state	O2_fraction	O2_capacity_mmol_gDW_h	condition_mu_max_h_1	residual_growth_requirement_h_1	optimal_PHB_flux	optimal_PHB_mass_rate	reaction_id	reaction_name	flux	reported_flux
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_PDH	Pyruvate dehydrogenase	2.858406677689326	2.858406677689326
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_CS	Citrate synthase	0.018139158644486765	0.018139158644486765
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_ACACT1r	Acetyl-CoA C-acetyltransferase	3.3279822952803864	3.3279822952803864
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_AACOAR_syn	Acetoacetyl CoA reductase	-0.0	-0.0
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_HBCE	3 hydroxyacyl CoA dehydratase  3 hydroxybutanoyl CoA	3.3279822952803864	3.3279822952803864
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_HACD1	3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	3.3279822952803864	3.3279822952803864
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_PHB_SYN_HB	Poly(3-hydroxybutyrate) synthase	0.8319955738200966	0.8319955738200966
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_DM_phb_c	PHB intracellular accumulation demand	0.8319955738200966	0.8319955738200966
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_ATPS4rpp	ATP synthase (four protons for one ATP) (periplasm)	4.7756189095419	4.7756189095419
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_CYO1_KT	Ubiquinol   cytochrome c reductase	2.392032823768418	2.392032823768418
PHB-optimal O2	0.25	1.1960486744502732	0.1527241557634616	0.015272415576346161	0.8319955738200966	0.2865059958006885	R_CYTCAA3pp	Cytochrome c oxidase aa3  2 protons1 electron    periplasm	2.392032823768418	2.392032823768418
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_EX_glc__D_e	EX_glc__D_e	-2.8	2.8
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_EX_o2_e	EX_o2_e	-1.325684734516241	1.325684734516241
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_Growth	Biomass reaction (VB LC1 V2.2 same components)	0.02873320419450616	0.02873320419450616
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_GLCabc	D-glucose transport via ABC system	2.8	2.8
High O2	1.0	4.784194697801093	0.28733204194506157	0.02873320419450616	0.7941395316151494	0.2734698891069928	R_GLCDpp	Glucose dehydrogenase (ubiquinone-8 as acceptor) (periplasm)	0.0	0.0
